tree_characteristics,number,was_cut,tree_adress,Latitude,Longitude,adress_description,date_UTF,organization_name,on_balance,tree_adress_shorten
Горобина,2,2,"Кропивницький, бульвар між вул. Волкова та вул.Пацаєва",48.50483670000456,32.2225745,вздовж вулиці,29.04.18,"ГО ""Озеленення Кропивницького""",ні,бульвар між вул. Волкова та вул.Пацаєва
Клен гостролистий,4,4,"Кропивницький, бульвар між вул. Волкова та вул.Пацаєва",48.50483670000471,32.2225930,вздовж вулиці,29.04.18,"ГО ""Озеленення Кропивницького""",ні,бульвар між вул. Волкова та вул.Пацаєва
Береза,4,4,"Кропивницький, бульвар між вул. Волкова та вул.Пацаєва",48.50483670000342,32.2225464,вздовж вулиці,29.04.18,"ГО ""Озеленення Кропивницького""",ні,бульвар між вул. Волкова та вул.Пацаєва
Липа серцелиста,70,70,"Кропивницький, вул.Полтавська",48.521781,32.2907117,вздовж вулиці,28.04.18,"КП ""Єлизавета""",ні,вул.Полтавська
Липа серцелиста,37,37,"Кропивницький, вул.Маланюка",48.5193755,32.280344899999994,вздовж вулиці,28.04.18,"КП ""Єлизавета""",ні,вул.Маланюка
Липа серцелиста,27,27,"Кропивницький, вул.Соборна",48.50132429999412,32.251125,вздовж вулиці,28.04.18,"КП ""Єлизавета""",ні,вул.Соборна
Липа серцелиста,30,30,"Кропивницький, набережна р.Інгул",47.860075099999516,32.2692683,,28.04.18,"КП ""Єлизавета""",ні,набережна р.Інгул
Липа серцелиста,11,11,"Кропивницький, вул.Вокзальна",48.51177620000801,32.2474838,вздовж вулиці,28.04.18,"КП ""Єлизавета""",ні,вул.Вокзальна
Туя,32,32,"Кропивницький, набережна р.Інгул",47.860075099999802,32.2692510,,21.04.18,"КП ""Єлизавета""",ні,набережна р.Інгул
Липа серцелиста,7,7,"Кропивницький, вул.Шмідта",48.5284450,32.286665899999421,біля приватного сектора,28.04.18,"КП ""Єлизавета""",ні,вул.Шмідта
Туя,10,10,"Кропивницький, бульвар Студентський",48.515997799999475,32.2759610,біля буд.коледжу,17.04.18,Мед.коледж,ні,бульвар Студентський
Береза,10,10,"Кропивницький, площа Дружби народів",48.52016099999647,32.283500,біля буд.коледжу,20.04.18,Будів.коледж,ні,площа Дружби народів
Верба біла,2,2,"Кропивницький, вул.Олефіренка 6",48.5192571,32.258386,біля буд.коледжу,18.04.18,Технікум механізації,ні,вул.Олефіренка 6
Шовковица плакуча форма,1,1,"Кропивницький, вул.Олефіренка 6",48.5192497,32.2583379,біля буд.коледжу,18.04.18,Технікум механізації,ні,вул.Олефіренка 6
